iter	Passed	Remaining
580	22720	16385
581	22753	16341
582	22792	16302
583	22834	16265
584	22867	16222
585	22906	16182
586	22939	16139
587	22970	16094
588	23007	16054
589	23047	16016
590	23080	15972
591	23114	15930
592	23150	15888
593	23188	15849
594	23229	15811
595	23267	15772
596	23306	15733
597	23349	15696
598	23382	15653
599	23418	15612
600	23461	15576
601	23494	15532
602	23528	15490
603	23570	15453
604	23604	15411
605	23640	15370
606	23679	15331
607	23714	15289
608	23749	15248
609	23781	15204
610	23815	15162
611	23851	15121
612	23885	15079
613	23924	15040
614	23960	14999
615	23992	14956
616	24024	14913
617	24065	14875
618	24098	14832
619	24132	14790
620	24172	14752
621	24209	14712
622	24249	14674
623	24285	14633
624	24318	14591
625	24351	14548
626	24385	14506
627	24426	14469
628	24465	14430
629	24505	14392
630	24545	14353
631	24581	14313
632	24624	14276
633	24664	14238
634	24714	14206
635	24748	14164
636	24784	14123
637	24830	14088
638	24864	14047
639	24907	14010
640	24943	13969
641	24982	13930
642	25020	13891
643	25057	13851
644	25098	13814
645	25135	13774
646	25174	13734
647	25213	13696
648	25251	13656
649	25285	13615
650	25332	13580
651	25370	13541
652	25410	13502
653	25463	13471
654	25511	13437
655	25552	13399
656	25588	13359
657	25621	13317
658	25666	13280
659	25704	13241
660	25747	13204
661	25787	13166
662	25827	13127
663	25867	13089
664	25910	13052
665	25942	13010
666	25978	12969
667	26013	12928
668	26048	12888
669	26082	12846
670	26116	12805
671	26155	12766
672	26198	12729
673	26237	12690
674	26272	12649
675	26305	12608
676	26346	12569
677	26387	12531
678	26424	12492
679	26458	12450
680	26493	12410
681	26529	12370
682	26568	12331
683	26599	12288
684	26646	12253
685	26687	12215
686	26721	12174
687	26763	12137
688	26807	12100
689	26849	12062
690	26886	12023
691	26918	11980
692	26952	11939
693	26991	11900
694	27028	11861
695	27068	11823
696	27107	11784
697	27144	11744
698	27176	11702
699	27211	11662
700	27249	11622
701	27285	11582
702	27324	11543
703	27369	11507
704	27407	11468
705	27440	11427
706	27479	11388
707	27519	11349
708	27552	11308
709	27588	11268
710	27622	11227
711	27656	11186
712	27696	11148
713	27737	11110
714	27773	11070
715	27805	11028
716	27842	10989
717	27885	10952
718	27918	10910
719	27961	10873
720	27998	10834
721	28035	10794
722	28072	10755
723	28109	10715
724	28141	10674
725	28176	10634
726	28213	10594
727	28252	10555
728	28284	10514
729	28323	10475
730	28368	10439
731	28409	10401
732	28449	10362
733	28489	10324
734	28532	10287
735	28571	10248
736	28617	10212
737	28656	10173
738	28693	10134
739	28738	10097
740	28776	10058
741	28815	10019
742	28850	9979
743	28884	9938
744	28919	9898
745	28963	9861
746	28995	9820
747	29030	9780
748	29069	9741
749	29107	9702
750	29143	9662
751	29178	9622
752	29216	9583
753	29248	9542
754	29286	9503
755	29326	9465
756	29366	9426
757	29402	9387
758	29437	9347
759	29470	9306
760	29501	9265
761	29544	9227
762	29576	9186
763	29620	9149
764	29666	9113
765	29709	9075
766	29743	9035
767	29779	8995
768	29817	8956
769	29850	8916
770	29886	8876
771	29926	8838
772	29967	8800
773	30011	8763
774	30046	8723
775	30084	8684
776	30119	8644
777	30155	8604
778	30189	8564
779	30229	8526
780	30269	8487
781	30310	8449
782	30349	8410
783	30387	8371
784	30429	8334
785	30466	8294
786	30498	8254
787	30535	8215
788	30577	8177
789	30613	8137
790	30652	8099
791	30690	8060
792	30735	8022
793	30774	7984
794	30812	7945
795	30846	7905
796	30891	7868
797	30926	7828
798	30967	7790
799	31002	7750
800	31036	7710
801	31076	7672
802	31111	7632
803	31148	7593
804	31184	7554
805	31227	7516
806	31264	7477
807	31302	7438
808	31341	7399
809	31381	7360
810	31418	7321
811	31452	7282
812	31488	7242
813	31531	7204
814	31569	7166
815	31612	7128
816	31655	7090
817	31694	7051
818	31731	7012
819	31769	6973
820	31810	6935
821	31850	6897
822	31886	6857
823	31927	6819
824	31962	6780
825	32001	6741
826	32032	6700
827	32071	6662
828	32107	6622
829	32144	6583
830	32175	6543
831	32209	6503
832	32242	6464
833	32285	6426
834	32321	6386
835	32352	6346
836	32391	6308
837	32426	6268
838	32466	6230
839	32504	6191
840	32542	6152
841	32578	6113
842	32615	6074
843	32658	6036
844	32699	5998
845	32739	5959
846	32767	5919
847	32807	5880
848	32844	5841
849	32889	5803
850	32931	5765
851	32969	5727
852	33006	5688
853	33043	5649
854	33075	5609
855	33115	5570
856	33154	5532
857	33185	5492
858	33230	5454
859	33268	5415
860	33307	5377
861	33342	5337
862	33372	5297
863	33412	5259
864	33444	5219
865	33481	5180
866	33518	5141
867	33557	5103
868	33595	5064
869	33631	5025
870	33673	4987
871	33707	4947
872	33740	4908
873	33777	4869
874	33813	4830
875	33850	4791
876	33892	4753
877	33933	4715
878	33974	4676
879	34010	4637
880	34048	4599
881	34081	4559
882	34116	4520
883	34163	4482
884	34197	4443
885	34234	4404
886	34266	4365
887	34303	4326
888	34346	4288
889	34380	4249
890	34412	4209
891	34457	4171
892	34493	4133
893	34532	4094
894	34568	4055
895	34605	4016
896	34644	3978
897	34680	3939
898	34726	3901
899	34760	3862
900	34797	3823
901	34840	3785
902	34874	3746
903	34911	3707
904	34942	3668
905	34980	3629
906	35015	3590
907	35052	3551
908	35091	3513
909	35131	3474
910	35170	3436
911	35207	3397
912	35241	3358
913	35273	3318
914	35308	3280
915	35341	3240
916	35382	3202
917	35418	3163
918	35456	3125
919	35492	3086
920	35528	3047
921	35565	3008
922	35611	2970
923	35651	2932
924	35687	2893
925	35722	2854
926	35761	2816
927	35798	2777
928	35832	2738
929	35871	2700
930	35905	2661
931	35941	2622
932	35977	2583
933	36011	2544
934	36052	2506
935	36092	2467
936	36126	2429
937	36161	2390
938	36198	2351
939	36237	2313
940	36274	2274
941	36317	2236
942	36366	2198
943	36410	2159
944	36456	2121
945	36499	2083
946	36534	2044
947	36569	2005
948	36603	1967
949	36640	1928
950	36686	1890
951	36727	1851
952	36762	1813
953	36799	1774
954	36831	1735
955	36865	1696
956	36906	1658
957	36940	1619
958	36976	1580
959	37013	1542
960	37053	1503
961	37098	1465
962	37147	1427
963	37186	1388
964	37225	1350
965	37259	1311
966	37303	1273
967	37342	1234
968	37375	1195
969	37408	1156
970	37450	1118
971	37482	1079
972	37518	1041
973	37562	1002
974	37595	963
975	37633	925
976	37671	886
977	37708	848
978	37734	809
979	37772	770
980	37812	732
981	37853	693
982	37894	655
983	37937	616
984	37985	578
985	38019	539
986	38051	501
987	38096	462
988	38135	424
989	38174	385
990	38212	347
991	38249	308
992	38285	269
993	38321	231
994	38358	192
995	38396	154
996	38435	115
997	38475	77
998	38514	38
999	38556	0
