iter	Logloss
180	0.1754908015
181	0.1753005111
182	0.1750144264
183	0.1748000695
184	0.1743863107
185	0.1742238507
186	0.1740448483
187	0.1738371282
188	0.1736309468
189	0.1734007104
190	0.1731624465
191	0.1729534771
192	0.172501546
193	0.1722131104
194	0.1719166061
195	0.1716842656
196	0.1714213572
197	0.1712052906
198	0.1708683686
199	0.1706957288
200	0.1705320688
201	0.1703460598
202	0.1701802163
203	0.169946957
204	0.1697475238
205	0.1695253345
206	0.169239358
207	0.169091924
208	0.1688806717
209	0.1685163954
210	0.168323909
211	0.1680699232
212	0.1678446474
213	0.1676981749
214	0.1675085307
215	0.1672310995
216	0.1670360995
217	0.1667646403
218	0.1665631861
219	0.1663810076
220	0.166166485
221	0.1659838091
222	0.1652061394
223	0.1650775246
224	0.1648876353
225	0.1647889563
226	0.1645068808
227	0.1643043068
228	0.1641195927
229	0.1639395491
230	0.1636084798
231	0.1634167556
232	0.1632607507
233	0.1631005437
234	0.1628498175
235	0.1626670548
236	0.1624768466
237	0.1622250764
238	0.1620446137
239	0.1618060645
240	0.1616065956
241	0.1613331843
242	0.1611628315
243	0.1609519183
244	0.1606929818
245	0.1604839896
246	0.1603009648
247	0.1600524237
248	0.1598067463
249	0.1595164852
250	0.1593572518
251	0.1591409722
252	0.1589790457
253	0.1588128454
254	0.1585563695
255	0.1583593025
256	0.1581782506
257	0.1578728891
258	0.1577397054
259	0.157596845
260	0.1573410597
261	0.1570665273
262	0.1569186915
263	0.1567031898
264	0.1564920747
265	0.1563032521
266	0.1560937364
267	0.1559382536
268	0.1557447143
269	0.1555245562
270	0.1553619187
271	0.1551222024
272	0.1549026469
273	0.1547223571
274	0.1545161056
275	0.1543458093
276	0.1540782229
277	0.1539307292
278	0.1537619978
279	0.1535960341
280	0.1533586452
281	0.1531913922
282	0.1529780506
283	0.1527910901
284	0.1526297181
285	0.1525025483
286	0.152330348
287	0.1521486182
288	0.1520595676
289	0.1517148343
290	0.1514672313
291	0.1513166407
292	0.1511568094
293	0.1509774312
294	0.150821976
295	0.1506382294
296	0.1504550886
297	0.1502920789
298	0.1501107408
299	0.1499163644
300	0.1497157005
301	0.1495660198
302	0.1494236755
303	0.1491733232
304	0.149007064
305	0.148868252
306	0.1487083557
307	0.1484112893
308	0.1482540456
309	0.1480125648
310	0.1479469592
311	0.1478239537
312	0.1476555475
313	0.1474478843
314	0.1472025864
315	0.1470992572
316	0.1469332389
317	0.1467949756
318	0.14662859
319	0.1464730335
320	0.1463391697
321	0.146126052
322	0.1460547266
323	0.1458882235
324	0.1457328636
325	0.1455760229
326	0.1454450428
327	0.1452884899
328	0.1450944924
329	0.1449667369
330	0.1448556854
331	0.1447179118
332	0.1445790418
333	0.1444278993
334	0.1441578344
335	0.1439525518
336	0.1438346781
337	0.1437603239
338	0.1436247472
339	0.143485086
340	0.143293948
341	0.1431934214
342	0.1430497691
343	0.142870702
344	0.1426976687
345	0.1425917949
346	0.1424162334
347	0.1422667809
348	0.142115605
349	0.1419323619
350	0.1418514964
351	0.1417057522
352	0.1414875113
353	0.141306337
354	0.141177351
355	0.1410110476
356	0.1409452626
357	0.1407977107
358	0.1406283045
359	0.1405493075
360	0.1404290648
361	0.1402776288
362	0.1401171142
363	0.1399794689
364	0.1398779211
365	0.1397511378
366	0.1396557368
367	0.1396075559
368	0.1394603689
369	0.1392627312
370	0.1391277572
371	0.1390423993
372	0.1389616857
373	0.1388332162
374	0.1387182253
375	0.1385508292
376	0.1383110456
377	0.1381243729
378	0.1380862018
379	0.1379657135
380	0.1377796726
381	0.1376953896
382	0.1375078415
383	0.1374194945
384	0.1372808319
385	0.1371918152
386	0.1370241402
387	0.1368954624
388	0.136803145
389	0.1367442766
390	0.1365404138
391	0.1363690603
392	0.1361660642
393	0.1360065183
394	0.1357677322
395	0.1356048605
396	0.1354795901
397	0.1353223862
398	0.1352193655
399	0.1350347834
400	0.1349332514
401	0.1347912958
402	0.1346886234
403	0.1345798696
404	0.1344487636
405	0.1343070407
406	0.1341858757
407	0.1340210707
408	0.1339483095
409	0.1337150976
410	0.1336250314
411	0.1334261591
412	0.1332037338
413	0.1330075773
414	0.132911759
415	0.1327456635
416	0.1326170389
417	0.132498274
418	0.1323592024
419	0.1321859609
420	0.1320775442
421	0.1319115772
422	0.1318036678
423	0.1316746853
424	0.1315336336
425	0.1314654894
426	0.1312400311
427	0.131083212
428	0.1310056573
429	0.1308117273
430	0.1307312367
431	0.1305104817
432	0.1304312768
433	0.1303452947
434	0.1302675902
435	0.1301882379
436	0.1300533517
437	0.1299646106
438	0.1298331079
439	0.1296485674
440	0.1295466479
441	0.1294053014
442	0.1291679025
443	0.1290976763
444	0.1289777132
445	0.1288803837
446	0.1286892765
447	0.1285866527
448	0.1283992423
449	0.1282578533
450	0.1281635035
451	0.1280524223
452	0.127938382
453	0.1277503032
454	0.1275617092
455	0.1274714623
456	0.1273701556
457	0.1272309371
458	0.1270764856
459	0.1269597162
460	0.1268078018
461	0.12672407
462	0.1266313323
463	0.1265216866
464	0.1264007287
465	0.1263044605
466	0.1261365007
467	0.126039814
468	0.1258525338
469	0.1256619591
470	0.1255313972
471	0.1253614411
472	0.125195367
473	0.1250252307
474	0.12487663
475	0.1247447756
476	0.1245623841
477	0.1243806995
478	0.1242761904
479	0.1240885322
480	0.1239030727
481	0.123853139
482	0.1236767022
483	0.1234846505
484	0.1233737883
485	0.1232264648
486	0.1231046428
487	0.1230050271
488	0.1228922249
489	0.1227874953
490	0.1227580065
491	0.1226366184
492	0.122495745
493	0.1223759799
494	0.122236152
495	0.1220677095
496	0.1219879063
497	0.121869155
498	0.1217967033
499	0.1216935258
500	0.1215516443
501	0.1214536007
502	0.1213831764
503	0.121313174
504	0.1211905916
505	0.1210895454
506	0.1210385475
507	0.120933557
508	0.1208237332
509	0.1207820154
510	0.1206865375
511	0.1205986375
512	0.1204648959
513	0.1203310694
514	0.1201963885
515	0.1199960174
516	0.1198625793
517	0.1197938507
518	0.1196932402
519	0.1195465369
520	0.119305366
521	0.1192007632
522	0.1190867481
523	0.1189813309
524	0.1188062296
525	0.1187223256
526	0.1186266522
527	0.1185221879
528	0.1184431934
529	0.1184012989
530	0.1183173232
531	0.1182188026
532	0.1180947505
533	0.1179402985
534	0.1178385323
535	0.1177417156
536	0.1176561172
537	0.1174514049
538	0.1173045999
539	0.1172084195
540	0.1169936025
541	0.1169115402
542	0.1168273793
543	0.1167161199
544	0.1166388661
545	0.1165246273
546	0.116389692
547	0.1162377412
548	0.1161730151
549	0.1160584643
550	0.1159335693
551	0.1157286062
552	0.1156774067
553	0.1155740316
554	0.115571714
555	0.1154608726
556	0.1153804244
557	0.115280743
558	0.1151442238
559	0.1150063663
560	0.1149080609
561	0.1148061345
562	0.1147099421
563	0.1146027031
564	0.1144255586
565	0.1143384594
566	0.1142304817
567	0.1141366646
568	0.1139853766
569	0.113886263
570	0.1137945332
571	0.1136965509
572	0.113632187
573	0.1134957286
574	0.1133788953
575	0.1133287759
576	0.1132049228
577	0.1131334656
578	0.1130309334
579	0.1128766308
580	0.112781599
581	0.1126962495
582	0.1126192014
583	0.1124598008
584	0.1123589028
585	0.1122159813
586	0.1120909993
587	0.1120167292
588	0.1119534968
589	0.1118495981
590	0.1117676707
591	0.1117024104
592	0.1116314151
593	0.1115399006
594	0.1114094587
595	0.1112822936
596	0.111134279
597	0.1109759208
598	0.1109243272
599	0.1108377743
600	0.1107370169
601	0.1106012676
602	0.1104963392
603	0.1103930092
604	0.1103241489
605	0.1102188984
606	0.1101078734
607	0.1100218154
608	0.1099213804
609	0.109865025
610	0.1098075858
611	0.1097210009
612	0.1095798331
613	0.1094540054
614	0.1093712914
615	0.1093408668
616	0.1092842215
617	0.1091490272
618	0.1090696773
619	0.1089701735
620	0.1088404058
621	0.1087742459
622	0.1086403557
623	0.1085900526
624	0.1085150124
625	0.1084559577
626	0.1084177842
627	0.1082925216
628	0.1081655456
629	0.1080434948
630	0.1078841827
631	0.1077798959
632	0.1076184346
633	0.1075134721
634	0.1073464616
635	0.1072566663
636	0.1071743577
637	0.107057092
638	0.1069246514
639	0.1068686859
640	0.1068092203
641	0.1066012729
642	0.1065017422
643	0.1063720864
644	0.1062181427
645	0.1061010327
646	0.1060097873
647	0.1059055414
648	0.1058358093
649	0.1057580582
650	0.1056678338
651	0.1055884187
652	0.1054741577
653	0.1053651267
654	0.1051786962
655	0.1050975457
656	0.1049922451
657	0.1048648703
658	0.104688546
659	0.1045556286
660	0.1044023049
661	0.1043074489
662	0.1041935041
663	0.1040869015
664	0.1040245565
665	0.103964963
666	0.1038343794
667	0.1037499555
668	0.1036624974
669	0.1036188162
670	0.1035284508
671	0.1034742427
672	0.1034005985
673	0.1033126319
674	0.1032167348
675	0.1031361597
676	0.1029792583
677	0.1028740909
678	0.1027726692
679	0.1026081479
680	0.1025183565
681	0.102473548
682	0.1023742395
683	0.1023210925
684	0.1022357499
685	0.1021695498
686	0.1021291626
687	0.1019897881
688	0.1018981125
689	0.1017711925
690	0.101657838
691	0.1015601868
692	0.1015090668
693	0.1013570526
694	0.1013054795
695	0.1012216874
696	0.1011718294
697	0.1010862641
698	0.1010095831
699	0.1009303638
700	0.1008619063
701	0.1007740847
702	0.1006660567
703	0.100556392
704	0.1004476897
705	0.1004003568
706	0.1003032338
707	0.1002024057
708	0.1000724389
709	0.10000823
710	0.09996053965
711	0.09990439039
712	0.09974799418
713	0.0995859454
714	0.09947298899
715	0.09943190674
716	0.09935494034
717	0.0992071228
718	0.09912825004
719	0.09903502878
720	0.09892908629
721	0.09884260421
722	0.09872133709
723	0.09865052224
724	0.09861145054
725	0.09856632872
726	0.09850235739
727	0.09837848278
728	0.09829708908
729	0.09821523482
730	0.09807898201
731	0.0979770291
732	0.09790520811
733	0.0978051922
734	0.09767557493
735	0.09760388207
736	0.09752171474
737	0.09743160752
738	0.09733292701
739	0.09715776811
740	0.09707113757
741	0.09699966097
742	0.09689453189
743	0.0967988604
744	0.09671813422
745	0.09660380913
746	0.09654864491
747	0.09648503637
748	0.09643512944
749	0.09633592627
750	0.09622354104
751	0.09613492148
752	0.0960763953
753	0.096042331
754	0.09592067162
755	0.09584910659
756	0.09578499885
757	0.09569028512
758	0.0956181823
759	0.09557044655
760	0.09552615701
761	0.09541685879
762	0.09538538124
763	0.095236353
764	0.09515699768
765	0.09507884097
766	0.0950267604
767	0.09496722165
768	0.09483997719
769	0.09473519692
770	0.09465059805
771	0.09459586745
772	0.09447187398
773	0.09436280063
774	0.09426194757
775	0.09422296372
776	0.09416536852
777	0.09405683254
778	0.09400342557
779	0.09388039793
780	0.09378280581
781	0.09369288689
782	0.09363988632
783	0.09355124334
784	0.09346091357
785	0.09336027795
786	0.09330672909
787	0.09320293221
788	0.09313101288
789	0.09304934786
790	0.09294830383
791	0.09291085065
792	0.09282401567
793	0.09276760858
794	0.09268201482
795	0.09260365152
796	0.09249526194
797	0.09243000608
798	0.09231562197
799	0.09223561463
800	0.09218444321
801	0.09205903441
802	0.09199931692
803	0.09193923914
804	0.09183955518
805	0.09177994363
806	0.09170066256
807	0.09164485892
808	0.09157207631
809	0.0914696172
810	0.09139978237
811	0.09133106398
812	0.09128179774
813	0.09115928656
814	0.09105372327
815	0.09091221972
816	0.09082298613
817	0.09071926149
818	0.09062070446
819	0.090561689
820	0.09046125838
821	0.09038708875
822	0.0903256878
823	0.09025497135
824	0.09017819527
825	0.09010001357
826	0.09007081766
827	0.09002277836
828	0.08992255832
829	0.08986526129
830	0.089854089
831	0.08977723197
832	0.08973838968
833	0.08963824361
834	0.08960070603
835	0.08955475217
836	0.08946990011
837	0.08941489758
838	0.08935980719
839	0.08924232729
840	0.08917090183
841	0.08909824941
842	0.08901913189
843	0.0889243767
844	0.08883453511
845	0.0887477152
846	0.0887292246
847	0.08865835464
848	0.08860051806
849	0.08848388071
850	0.08837682286
851	0.08824572452
852	0.08818836224
853	0.08810124531
854	0.08805477049
855	0.08789435184
856	0.08784842807
857	0.08781752532
858	0.08772596095
859	0.08762356094
860	0.08753423124
861	0.08744820078
862	0.08739760877
863	0.08726277487
864	0.08720031586
865	0.08715668012
866	0.08706557537
867	0.08700284114
868	0.08690365548
869	0.08681653388
870	0.08672609908
871	0.0866951468
872	0.08663671675
873	0.08655234251
874	0.08649246159
875	0.08639657859
876	0.08624948419
877	0.08614928283
878	0.08608806662
879	0.08604416206
880	0.08593623217
881	0.08588602458
882	0.08583058861
883	0.08570519984
884	0.08566301549
885	0.08554851787
886	0.08544718613
887	0.08540849274
888	0.08530519647
889	0.08525267267
890	0.0851994727
891	0.08511037751
892	0.08504841781
893	0.08501761976
894	0.0849684691
895	0.08486750769
896	0.08482424352
897	0.08474867432
898	0.08464258121
899	0.08457264971
900	0.0845210739
901	0.0844564164
902	0.0843701313
903	0.08432080464
904	0.08424267868
905	0.08416107253
906	0.08412747171
907	0.08403571566
908	0.08397431252
909	0.08392517997
910	0.08385805184
911	0.08378625986
912	0.08373924045
913	0.08371503074
914	0.08366305041
915	0.08361699279
916	0.08353532867
917	0.08346114573
918	0.08339298871
919	0.08333459618
920	0.08327188232
921	0.08319724596
922	0.08307875572
923	0.08300426884
924	0.08295229776
925	0.08288408669
926	0.08280409594
927	0.08272649321
928	0.0826529406
929	0.08259798263
930	0.08253812775
931	0.08247072388
932	0.08237827611
933	0.08234468996
934	0.08221607317
935	0.0821602655
936	0.08207013297
937	0.0820371488
938	0.08197500079
939	0.08191514777
940	0.08185797166
941	0.08179588194
942	0.08171600379
943	0.08163965892
944	0.08155557861
945	0.0814669792
946	0.08141321236
947	0.08134320521
948	0.08131516786
949	0.08126487091
950	0.08118786874
951	0.08112895397
952	0.08107825449
953	0.08101173674
954	0.08097886074
955	0.08094796831
956	0.080839536
957	0.08079970427
958	0.08072854293
959	0.08068926734
960	0.08061458875
961	0.08049893218
962	0.08040463879
963	0.08031849503
964	0.08025763662
965	0.08018770849
966	0.0800963784
967	0.08000662397
968	0.07994135344
969	0.07987621537
970	0.07977299187
971	0.07973814232
972	0.07969639359
973	0.07958584231
974	0.07957760356
975	0.07950031978
976	0.0794320047
977	0.07931520601
978	0.07931367792
979	0.07924051956
980	0.07920011659
981	0.07913148673
982	0.07904554012
983	0.07896760904
984	0.07885909969
985	0.07880237463
986	0.0787490035
987	0.07864625431
988	0.07857321375
989	0.07847878403
990	0.07839795531
991	0.07827766846
992	0.07821634126
993	0.07816447071
994	0.07809150601
995	0.07803710298
996	0.07798545852
997	0.07793599757
998	0.07786603895
999	0.07777371346
